W50 regime probe -- class 4, Q order 2^243, layers [ 5, 14, 49, 175 ]

regime      |  t   s | v2(t) v2(s) | #lvl1 | verdict
handle      |  7   1 |   0     0   |     0 | INFEASIBLE
handle      |  7   2 |   0     1   |     0 | INFEASIBLE
handle      |  7   3 |   0     0   |     0 | INFEASIBLE
handle      |  7   4 |   0     2   |     0 | INFEASIBLE
handle      |  7   5 |   0     0   |     0 | INFEASIBLE
handle      |  7   6 |   0     1   |     0 | INFEASIBLE
handle      |  7   7 |   0     0   |     0 | INFEASIBLE
core        |  0   1 |  99     0   |     1 | INFEASIBLE
core        |  0   2 |  99     1   |     1 | INFEASIBLE
core        |  0   3 |  99     0   |     1 | INFEASIBLE
core        |  0   4 |  99     2   |     1 | INFEASIBLE
core        |  0   5 |  99     0   |     1 | INFEASIBLE
core        |  0   6 |  99     1   |     1 | INFEASIBLE
core        |  0   7 |  99     0   |     1 | INFEASIBLE
core        |  1   0 |   0    99   |     1 | INFEASIBLE
core        |  1   1 |   0     0   |     1 | INFEASIBLE
core        |  1   2 |   0     1   |     1 | INFEASIBLE
core        |  1   3 |   0     0   |     1 | INFEASIBLE
core        |  1   4 |   0     2   |     1 | INFEASIBLE
core        |  1   5 |   0     0   |     1 | INFEASIBLE
core        |  1   6 |   0     1   |     1 | INFEASIBLE
core        |  1   7 |   0     0   |     1 | INFEASIBLE
core        |  2   0 |   1    99   |     1 | INFEASIBLE
core        |  2   1 |   1     0   |     1 | INFEASIBLE
core        |  2   2 |   1     1   |     1 | INFEASIBLE
core        |  2   3 |   1     0   |     1 | INFEASIBLE
core        |  2   4 |   1     2   |     1 | INFEASIBLE
core        |  2   5 |   1     0   |     1 | INFEASIBLE
core        |  2   6 |   1     1   |     1 | INFEASIBLE
core        |  2   7 |   1     0   |     1 | INFEASIBLE
core        |  3   0 |   0    99   |     1 | INFEASIBLE
core        |  3   1 |   0     0   |     1 | INFEASIBLE
core        |  3   2 |   0     1   |     1 | INFEASIBLE
core        |  3   3 |   0     0   |     1 | INFEASIBLE
core        |  3   4 |   0     2   |     1 | INFEASIBLE
core        |  3   5 |   0     0   |     1 | INFEASIBLE
core        |  3   6 |   0     1   |     1 | INFEASIBLE
core        |  3   7 |   0     0   |     1 | INFEASIBLE
core        |  4   0 |   2    99   |     1 | INFEASIBLE
core        |  4   1 |   2     0   |     1 | INFEASIBLE
core        |  4   2 |   2     1   |     1 | INFEASIBLE
core        |  4   3 |   2     0   |     1 | INFEASIBLE
core        |  4   4 |   2     2   |     1 | INFEASIBLE
core        |  4   5 |   2     0   |     1 | INFEASIBLE
core        |  4   6 |   2     1   |     1 | INFEASIBLE
core        |  4   7 |   2     0   |     1 | INFEASIBLE
core        |  5   0 |   0    99   |     1 | INFEASIBLE
core        |  5   1 |   0     0   |     1 | INFEASIBLE
core        |  5   2 |   0     1   |     1 | INFEASIBLE
core        |  5   3 |   0     0   |     1 | INFEASIBLE
core        |  5   4 |   0     2   |     1 | INFEASIBLE
core        |  5   5 |   0     0   |     1 | INFEASIBLE
core        |  5   6 |   0     1   |     1 | INFEASIBLE
core        |  5   7 |   0     0   |     1 | INFEASIBLE
core        |  6   0 |   1    99   |     1 | INFEASIBLE
core        |  6   1 |   1     0   |     1 | INFEASIBLE
core        |  6   2 |   1     1   |     1 | INFEASIBLE
core        |  6   3 |   1     0   |     1 | INFEASIBLE
core        |  6   4 |   1     2   |     1 | INFEASIBLE
core        |  6   5 |   1     0   |     1 | INFEASIBLE
core        |  6   6 |   1     1   |     1 | INFEASIBLE
core        |  6   7 |   1     0   |     1 | INFEASIBLE
core        |  7   0 |   0    99   |     1 | INFEASIBLE
core        |  7   1 |   0     0   |     1 | INFEASIBLE
core        |  7   2 |   0     1   |     1 | INFEASIBLE
core        |  7   3 |   0     0   |     1 | INFEASIBLE
core        |  7   4 |   0     2   |     1 | INFEASIBLE
core        |  7   5 |   0     0   |     1 | INFEASIBLE
core        |  7   6 |   0     1   |     1 | INFEASIBLE
core        |  7   7 |   0     0   |     1 | INFEASIBLE
sigmax0     |  0   1 |  99     0   |     1 | INFEASIBLE
sigmax0     |  0   2 |  99     1   |     1 | INFEASIBLE
sigmax0     |  0   3 |  99     0   |     1 | INFEASIBLE
sigmax0     |  0   4 |  99     2   |     1 | INFEASIBLE
sigmax0     |  0   5 |  99     0   |     1 | INFEASIBLE
sigmax0     |  0   6 |  99     1   |     1 | INFEASIBLE
sigmax0     |  0   7 |  99     0   |     1 | INFEASIBLE
sigmax0     |  1   0 |   0    99   |     1 | INFEASIBLE
sigmax0     |  1   1 |   0     0   |     1 | INFEASIBLE
sigmax0     |  1   2 |   0     1   |     1 | INFEASIBLE
sigmax0     |  1   3 |   0     0   |     1 | INFEASIBLE
sigmax0     |  1   4 |   0     2   |     1 | INFEASIBLE
sigmax0     |  1   5 |   0     0   |     1 | INFEASIBLE
sigmax0     |  1   6 |   0     1   |     1 | INFEASIBLE
sigmax0     |  1   7 |   0     0   |     1 | INFEASIBLE
sigmax0     |  2   0 |   1    99   |     1 | INFEASIBLE
sigmax0     |  2   1 |   1     0   |     1 | INFEASIBLE
sigmax0     |  2   2 |   1     1   |     1 | INFEASIBLE
sigmax0     |  2   3 |   1     0   |     1 | INFEASIBLE
sigmax0     |  2   4 |   1     2   |     1 | INFEASIBLE
sigmax0     |  2   5 |   1     0   |     1 | INFEASIBLE
sigmax0     |  2   6 |   1     1   |     1 | INFEASIBLE
sigmax0     |  2   7 |   1     0   |     1 | INFEASIBLE
sigmax0     |  3   0 |   0    99   |     1 | INFEASIBLE
sigmax0     |  3   1 |   0     0   |     1 | INFEASIBLE
sigmax0     |  3   2 |   0     1   |     1 | INFEASIBLE
sigmax0     |  3   3 |   0     0   |     1 | INFEASIBLE
sigmax0     |  3   4 |   0     2   |     1 | INFEASIBLE
sigmax0     |  3   5 |   0     0   |     1 | INFEASIBLE
sigmax0     |  3   6 |   0     1   |     1 | INFEASIBLE
sigmax0     |  3   7 |   0     0   |     1 | INFEASIBLE
sigmax0     |  4   0 |   2    99   |     1 | INFEASIBLE
sigmax0     |  4   1 |   2     0   |     1 | INFEASIBLE
sigmax0     |  4   2 |   2     1   |     1 | INFEASIBLE
sigmax0     |  4   3 |   2     0   |     1 | INFEASIBLE
sigmax0     |  4   4 |   2     2   |     1 | INFEASIBLE
sigmax0     |  4   5 |   2     0   |     1 | INFEASIBLE
sigmax0     |  4   6 |   2     1   |     1 | INFEASIBLE
sigmax0     |  4   7 |   2     0   |     1 | INFEASIBLE
sigmax0     |  5   0 |   0    99   |     1 | INFEASIBLE
sigmax0     |  5   1 |   0     0   |     1 | INFEASIBLE
sigmax0     |  5   2 |   0     1   |     1 | INFEASIBLE
sigmax0     |  5   3 |   0     0   |     1 | INFEASIBLE
sigmax0     |  5   4 |   0     2   |     1 | INFEASIBLE
sigmax0     |  5   5 |   0     0   |     1 | INFEASIBLE
sigmax0     |  5   6 |   0     1   |     1 | INFEASIBLE
sigmax0     |  5   7 |   0     0   |     1 | INFEASIBLE
sigmax0     |  6   0 |   1    99   |     1 | INFEASIBLE
sigmax0     |  6   1 |   1     0   |     1 | INFEASIBLE
sigmax0     |  6   2 |   1     1   |     1 | INFEASIBLE
sigmax0     |  6   3 |   1     0   |     1 | INFEASIBLE
sigmax0     |  6   4 |   1     2   |     1 | INFEASIBLE
sigmax0     |  6   5 |   1     0   |     1 | INFEASIBLE
sigmax0     |  6   6 |   1     1   |     1 | INFEASIBLE
sigmax0     |  6   7 |   1     0   |     1 | INFEASIBLE
sigmax0     |  7   0 |   0    99   |     1 | INFEASIBLE
sigmax0     |  7   1 |   0     0   |     1 | INFEASIBLE
sigmax0     |  7   2 |   0     1   |     1 | INFEASIBLE
sigmax0     |  7   3 |   0     0   |     1 | INFEASIBLE
sigmax0     |  7   4 |   0     2   |     1 | INFEASIBLE
sigmax0     |  7   5 |   0     0   |     1 | INFEASIBLE
sigmax0     |  7   6 |   0     1   |     1 | INFEASIBLE
sigmax0     |  7   7 |   0     0   |     1 | INFEASIBLE
x0          |  0   1 |  99     0   |     0 | INFEASIBLE
x0          |  0   2 |  99     1   |     1 | INFEASIBLE
x0          |  0   3 |  99     0   |     0 | INFEASIBLE
x0          |  0   4 |  99     2   |     1 | INFEASIBLE
x0          |  0   5 |  99     0   |     0 | INFEASIBLE
x0          |  0   6 |  99     1   |     1 | INFEASIBLE
x0          |  0   7 |  99     0   |     0 | INFEASIBLE
x0          |  1   0 |   0    99   |     0 | INFEASIBLE
x0          |  1   1 |   0     0   |     0 | INFEASIBLE
x0          |  1   2 |   0     1   |     0 | INFEASIBLE
x0          |  1   3 |   0     0   |     0 | INFEASIBLE
x0          |  1   4 |   0     2   |     0 | INFEASIBLE
x0          |  1   5 |   0     0   |     0 | INFEASIBLE
x0          |  1   6 |   0     1   |     0 | INFEASIBLE
x0          |  1   7 |   0     0   |     0 | INFEASIBLE
x0          |  2   0 |   1    99   |     1 | INFEASIBLE
x0          |  2   1 |   1     0   |     0 | INFEASIBLE
x0          |  2   2 |   1     1   |     1 | INFEASIBLE
x0          |  2   3 |   1     0   |     0 | INFEASIBLE
x0          |  2   4 |   1     2   |     1 | INFEASIBLE
x0          |  2   5 |   1     0   |     0 | INFEASIBLE
x0          |  2   6 |   1     1   |     1 | INFEASIBLE
x0          |  2   7 |   1     0   |     0 | INFEASIBLE
x0          |  3   0 |   0    99   |     0 | INFEASIBLE
x0          |  3   1 |   0     0   |     0 | INFEASIBLE
x0          |  3   2 |   0     1   |     0 | INFEASIBLE
x0          |  3   3 |   0     0   |     0 | INFEASIBLE
x0          |  3   4 |   0     2   |     0 | INFEASIBLE
x0          |  3   5 |   0     0   |     0 | INFEASIBLE
x0          |  3   6 |   0     1   |     0 | INFEASIBLE
x0          |  3   7 |   0     0   |     0 | INFEASIBLE
x0          |  4   0 |   2    99   |     1 | INFEASIBLE
x0          |  4   1 |   2     0   |     0 | INFEASIBLE
x0          |  4   2 |   2     1   |     1 | INFEASIBLE
x0          |  4   3 |   2     0   |     0 | INFEASIBLE
x0          |  4   4 |   2     2   |     1 | INFEASIBLE
x0          |  4   5 |   2     0   |     0 | INFEASIBLE
x0          |  4   6 |   2     1   |     1 | INFEASIBLE
x0          |  4   7 |   2     0   |     0 | INFEASIBLE
x0          |  5   0 |   0    99   |     0 | INFEASIBLE
x0          |  5   1 |   0     0   |     0 | INFEASIBLE
x0          |  5   2 |   0     1   |     0 | INFEASIBLE
x0          |  5   3 |   0     0   |     0 | INFEASIBLE
x0          |  5   4 |   0     2   |     0 | INFEASIBLE
x0          |  5   5 |   0     0   |     0 | INFEASIBLE
x0          |  5   6 |   0     1   |     0 | INFEASIBLE
x0          |  5   7 |   0     0   |     0 | INFEASIBLE
x0          |  6   0 |   1    99   |     1 | INFEASIBLE
x0          |  6   1 |   1     0   |     0 | INFEASIBLE
x0          |  6   2 |   1     1   |     1 | INFEASIBLE
x0          |  6   3 |   1     0   |     0 | INFEASIBLE
x0          |  6   4 |   1     2   |     1 | INFEASIBLE
x0          |  6   5 |   1     0   |     0 | INFEASIBLE
x0          |  6   6 |   1     1   |     1 | INFEASIBLE
x0          |  6   7 |   1     0   |     0 | INFEASIBLE
x0          |  7   0 |   0    99   |     0 | INFEASIBLE
x0          |  7   1 |   0     0   |     0 | INFEASIBLE
x0          |  7   2 |   0     1   |     0 | INFEASIBLE
x0          |  7   3 |   0     0   |     0 | INFEASIBLE
x0          |  7   4 |   0     2   |     0 | INFEASIBLE
x0          |  7   5 |   0     0   |     0 | INFEASIBLE
x0          |  7   6 |   0     1   |     0 | INFEASIBLE
x0          |  7   7 |   0     0   |     0 | INFEASIBLE
full        |  0   1 |  99     0   |     6 | solvable
full        |  0   2 |  99     1   |     6 | solvable
full        |  0   3 |  99     0   |     6 | solvable
full        |  0   4 |  99     2   |     6 | solvable
full        |  0   5 |  99     0   |     6 | solvable
full        |  0   6 |  99     1   |     6 | solvable
full        |  0   7 |  99     0   |     6 | solvable
full        |  1   0 |   0    99   |     6 | solvable
full        |  1   1 |   0     0   |     6 | solvable
full        |  1   2 |   0     1   |     6 | solvable
full        |  1   3 |   0     0   |     6 | solvable
full        |  1   4 |   0     2   |     6 | solvable
full        |  1   5 |   0     0   |     6 | solvable
full        |  1   6 |   0     1   |     6 | solvable
full        |  1   7 |   0     0   |     6 | solvable
full        |  2   0 |   1    99   |     6 | solvable
full        |  2   1 |   1     0   |     6 | solvable
full        |  2   2 |   1     1   |     6 | solvable
full        |  2   3 |   1     0   |     6 | solvable
full        |  2   4 |   1     2   |     6 | solvable
full        |  2   5 |   1     0   |     6 | solvable
full        |  2   6 |   1     1   |     6 | solvable
full        |  2   7 |   1     0   |     6 | solvable
full        |  3   0 |   0    99   |     6 | solvable
full        |  3   1 |   0     0   |     6 | solvable
full        |  3   2 |   0     1   |     6 | solvable
full        |  3   3 |   0     0   |     6 | solvable
full        |  3   4 |   0     2   |     6 | solvable
full        |  3   5 |   0     0   |     6 | solvable
full        |  3   6 |   0     1   |     6 | solvable
full        |  3   7 |   0     0   |     6 | solvable
full        |  4   0 |   2    99   |     6 | solvable
full        |  4   1 |   2     0   |     6 | solvable
full        |  4   2 |   2     1   |     6 | solvable
full        |  4   3 |   2     0   |     6 | solvable
full        |  4   4 |   2     2   |     6 | solvable
full        |  4   5 |   2     0   |     6 | solvable
full        |  4   6 |   2     1   |     6 | solvable
full        |  4   7 |   2     0   |     6 | solvable
full        |  5   0 |   0    99   |     6 | solvable
full        |  5   1 |   0     0   |     6 | solvable
full        |  5   2 |   0     1   |     6 | solvable
full        |  5   3 |   0     0   |     6 | solvable
full        |  5   4 |   0     2   |     6 | solvable
full        |  5   5 |   0     0   |     6 | solvable
full        |  5   6 |   0     1   |     6 | solvable
full        |  5   7 |   0     0   |     6 | solvable
full        |  6   0 |   1    99   |     6 | solvable
full        |  6   1 |   1     0   |     6 | solvable
full        |  6   2 |   1     1   |     6 | solvable
full        |  6   3 |   1     0   |     6 | solvable
full        |  6   4 |   1     2   |     6 | solvable
full        |  6   5 |   1     0   |     6 | solvable
full        |  6   6 |   1     1   |     6 | solvable
full        |  6   7 |   1     0   |     6 | solvable
full        |  7   0 |   0    99   |     6 | solvable
full        |  7   1 |   0     0   |     6 | solvable
full        |  7   2 |   0     1   |     6 | solvable
full        |  7   3 |   0     0   |     6 | solvable
full        |  7   4 |   0     2   |     6 | solvable
full        |  7   5 |   0     0   |     6 | solvable
full        |  7   6 |   0     1   |     6 | solvable
full        |  7   7 |   0     0   |     6 | solvable

SUMMARY (63 uncleared markings, (t,s) in [0..7]^2 minus (0,0)):
   regime handle    : solvable 0, INFEASIBLE 63
   regime core      : solvable 0, INFEASIBLE 63
   regime sigmax0   : solvable 0, INFEASIBLE 63
   regime x0        : solvable 0, INFEASIBLE 63
   regime full      : solvable 63, INFEASIBLE 0

per-slot rank of the defect map delta_j (full regime, marking (t,s)=(1,1)):
   L3 : target dim 49, joint rank 43, per-slot ranks (s,x0,x1,u,v) = [ 12, 12, 12, 11, 11 ]
   L4 : target dim 175, joint rank 169, per-slot ranks (s,x0,x1,u,v) = [ 47, 47, 47, 46, 46 ]
DONE
